0107151 (0, 0) (1, 2) (3, 2) False
0107152 (0, 0) (1, 2) (3, 2) False
0107161 (0, 0) (1, 2) (3, 3) False
0107162 (0, 0) (1, 2) (3, 3) False
0108011 (0, 0) (1, 3) (0, 0) False
0108012 (0, 0) (1, 3) (0, 0) False
0108021 (0, 0) (1, 3) (0, 1) False
0108022 (0, 0) (1, 3) (0, 1) False
0108031 (0, 0) (1, 3) (0, 2) False
0108032 (0, 0) (1, 3) (0, 2) False
0108041 (0, 0) (1, 3) (0, 3) False
0108042 (0, 0) (1, 3) (0, 3) False
0108051 (0, 0) (1, 3) (1, 0) False
0108052 (0, 0) (1, 3) (1, 0) False
0108061 (0, 0) (1, 3) (1, 1) False
0108062 (0, 0) (1, 3) (1, 1) False
0108071 (0, 0) (1, 3) (1, 2) False
0108072 (0, 0) (1, 3) (1, 2) False
0108081 (0, 0) (1, 3) (1, 3) False
0108082 (0, 0) (1, 3) (1, 3) False
0108091 (0, 0) (1, 3) (2, 0) False
0108092 (0, 0) (1, 3) (2, 0) False
0108101 (0, 0) (1, 3) (2, 1) False
0108102 (0, 0) (1, 3) (2, 1) False
0108111 (0, 0) (1, 3) (2, 2) False
0108112 (0, 0) (1, 3) (2, 2) False
0108121 (0, 0) (1, 3) (2, 3) False
0108122 (0, 0) (1, 3) (2, 3) False
0108131 (0, 0) (1, 3) (3, 0) False
0108132 (0, 0) (1, 3) (3, 0) False
0108141 (0, 0) (1, 3) (3, 1) False
0108142 (0, 0) (1, 3) (3, 1) False
0108151 (0, 0) (1, 3) (3, 2) False
0108152 (0, 0) (1, 3) (3, 2) False
0108161 (0, 0) (1, 3) (3, 3) False
0108162 (0, 0) (1, 3) (3, 3) False
0109011 (0, 0) (2, 0) (0, 0) True
0109012 (0, 0) (2, 0) (0, 0) True
0109021 (0, 0) (2, 0) (0, 1) False
0109022 (0, 0) (2, 0) (0, 1) False
0109031 (0, 0) (2, 0) (0, 2) False
0109032 (0, 0) (2, 0) (0, 2) False
0109041 (0, 0) (2, 0) (0, 3) False
0109042 (0, 0) (2, 0) (0, 3) False
0109051 (0, 0) (2, 0) (1, 0) True
0109052 (0, 0) (2, 0) (1, 0) True
0109061 (0, 0) (2, 0) (1, 1) False
0109062 (0, 0) (2, 0) (1, 1) False
0109071 (0, 0) (2, 0) (1, 2) False
0109072 (0, 0) (2, 0) (1, 2) False
0109081 (0, 0) (2, 0) (1, 3) False
0109082 (0, 0) (2, 0) (1, 3) False
0109091 (0, 0) (2, 0) (2, 0) False
0109092 (0, 0) (2, 0) (2, 0) False
0109101 (0, 0) (2, 0) (2, 1) False
0109102 (0, 0) (2, 0) (2, 1) False
0109111 (0, 0) (2, 0) (2, 2) False
0109112 (0, 0) (2, 0) (2, 2) False
0109121 (0, 0) (2, 0) (2, 3) False
0109122 (0, 0) (2, 0) (2, 3) False
0109131 (0, 0) (2, 0) (3, 0) True
0109132 (0, 0) (2, 0) (3, 0) True
0109141 (0, 0) (2, 0) (3, 1) False
0109142 (0, 0) (2, 0) (3, 1) False
0109151 (0, 0) (2, 0) (3, 2) False
0109152 (0, 0) (2, 0) (3, 2) False
0109161 (0, 0) (2, 0) (3, 3) False
0109162 (0, 0) (2, 0) (3, 3) False
0110011 (0, 0) (2, 1) (0, 0) False
0110012 (0, 0) (2, 1) (0, 0) False
0110021 (0, 0) (2, 1) (0, 1) False
0110022 (0, 0) (2, 1) (0, 1) False
0110031 (0, 0) (2, 1) (0, 2) False
0110032 (0, 0) (2, 1) (0, 2) False
0110041 (0, 0) (2, 1) (0, 3) False
0110042 (0, 0) (2, 1) (0, 3) False
0110051 (0, 0) (2, 1) (1, 0) False
0110052 (0, 0) (2, 1) (1, 0) False
0110061 (0, 0) (2, 1) (1, 1) False
0110062 (0, 0) (2, 1) (1, 1) False
0110071 (0, 0) (2, 1) (1, 2) False
0110072 (0, 0) (2, 1) (1, 2) False
0110081 (0, 0) (2, 1) (1, 3) False
0110082 (0, 0) (2, 1) (1, 3) False
0110091 (0, 0) (2, 1) (2, 0) False
0110092 (0, 0) (2, 1) (2, 0) False
0110101 (0, 0) (2, 1) (2, 1) False
0110102 (0, 0) (2, 1) (2, 1) False
0110111 (0, 0) (2, 1) (2, 2) False
0110112 (0, 0) (2, 1) (2, 2) False
